Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,0.99,0,0
0.1,0.003,1.23,0,0
0.2,0.013,469.88,0.00003,0
0.3,0.024,761.47,0.00007,0
0.4,0.034,1000.04,0.0001,0
0.5,0.042,1092.26,0.00012,0
0.6,0.05,1204.26,0.00013,0
0.7,0.059,1331.94,0.00015,-0.00001
0.8,0.067,1431.84,0.00017,-0.00001
0.9,0.075,1538,0.00019,-0.00001
1,0.084,1579.86,0.00021,-0.00001
1.1,0.092,1643.29,0.00023,-0.00002
1.2,0.1,1771.37,0.00024,-0.00002
1.3,0.109,1884.91,0.00026,-0.00002
1.4,0.117,1961.7,0.00027,-0.00002
1.5,0.125,2028.2,0.00029,-0.00002
1.6,0.134,2099.4,0.0003,-0.00003
1.7,0.142,2120.93,0.00031,-0.00002
1.8,0.15,2166.07,0.00032,-0.00003
1.9,0.159,2223.21,0.00033,-0.00003
2,0.167,2313.59,0.00035,-0.00003
2.1,0.175,2392.72,0.00036,-0.00003
2.2,0.184,2493.84,0.00036,-0.00003
2.3,0.192,2590.46,0.00037,-0.00003
2.4,0.2,2645.9,0.00038,-0.00003
2.5,0.209,2681.33,0.00039,-0.00003
2.6,0.217,2747.97,0.0004,-0.00003
2.7,0.225,2810.11,0.0004,-0.00003
2.8,0.234,2924.33,0.00041,-0.00003
2.9,0.242,3007.02,0.00042,-0.00003
3,0.25,3093.76,0.00043,-0.00003
3.1,0.259,3125.79,0.00044,-0.00003
3.2,0.267,3210.79,0.00044,-0.00003
3.3,0.275,3335.92,0.00045,-0.00003
3.4,0.284,3412.59,0.00046,-0.00003
3.5,0.292,3487.69,0.00046,-0.00003
3.6,0.3,3621.16,0.00047,-0.00003
3.7,0.309,3676.06,0.00048,-0.00003
3.8,0.317,3710.96,0.00049,-0.00003
3.9,0.325,3819.47,0.00049,-0.00003
4,0.334,3921.55,0.0005,-0.00003
4.1,0.342,4048.72,0.00051,-0.00003
4.2,0.35,4143.6,0.00051,-0.00003
4.3,0.358,4179.74,0.00052,-0.00003
4.4,0.367,4229.25,0.00053,-0.00003
4.5,0.375,4408.57,0.00054,-0.00003
4.6,0.384,4502.22,0.00054,-0.00003
4.7,0.392,4621.43,0.00055,-0.00003
4.8,0.4,4690.16,0.00055,-0.00002
4.9,0.408,4761.39,0.00056,-0.00002
5,0.417,4854.32,0.00057,-0.00002
5.1,0.425,4966.55,0.00058,-0.00001
5.2,0.434,5107.79,0.00058,0
5.3,0.442,5207.66,0.00059,0.00001
5.4,0.45,5248.88,0.0006,0.00003
5.5,0.459,5362.03,0.0006,0.00004
5.6,0.467,5491.09,0.00061,0.00005
5.7,0.475,5605.39,0.00062,0.00006
5.8,0.483,5682.1,0.00063,0.00006
5.9,0.492,5769.26,0.00063,0.00007
6,0.5,5915.1,0.00064,0.00007
6.1,0.509,6039.32,0.00065,0.00007
6.2,0.517,6157.27,0.00065,0.00007
6.3,0.525,6215.3,0.00066,0.00008
6.4,0.534,6272.15,0.00067,0.00008
6.5,0.542,6436.95,0.00067,0.00008
6.6,0.55,6582.63,0.00068,0.00008
6.7,0.559,6749.67,0.00069,0.00008
6.8,0.567,6779.28,0.00069,0.00008
6.9,0.575,6879.58,0.0007,0.00008
7,0.583,6987.48,0.00071,0.00009
7.1,0.592,7104.86,0.00072,0.00009
7.2,0.6,7267.88,0.00073,0.00009
7.3,0.609,7328.12,0.00073,0.00009
7.4,0.617,7500.33,0.00074,0.00009
7.5,0.625,7598.09,0.00074,0.0001
7.6,0.634,7701.07,0.00075,0.0001
7.7,0.642,7778.99,0.00076,0.0001
7.8,0.65,7910.79,0.00077,0.0001
7.9,0.658,8081.2,0.00077,0.00011
8,0.667,8220.29,0.00078,0.00011
8.1,0.675,8308.26,0.00079,0.00012
8.2,0.684,8329.33,0.00079,0.00012
8.3,0.692,8483.5,0.0008,0.00013
8.4,0.7,8661.57,0.00081,0.00013
8.5,0.708,8801.19,0.00082,0.00014
8.6,0.717,8903.83,0.00082,0.00014
8.7,0.725,9022.17,0.00083,0.00014
8.8,0.734,9108.39,0.00084,0.00015
8.9,0.742,9263.58,0.00084,0.00015
9,0.75,9347.25,0.00086,0.00015
9.1,0.758,9500.76,0.00086,0.00016
9.2,0.767,9674.69,0.00087,0.00016
9.3,0.775,9811.44,0.00088,0.00017
9.4,0.783,9818.22,0.00088,0.00017
9.5,0.792,9959.53,0.00089,0.00017
9.6,0.8,10135.97,0.0009,0.00018
9.7,0.808,10285.04,0.0009,0.00018
9.8,0.817,10414.35,0.00091,0.00018
9.9,0.825,10472.25,0.00092,0.00019
10,0.834,10584.24,0.00092,0.00019
10.1,0.842,10772.41,0.00094,0.0002
10.2,0.85,10890.23,0.00094,0.0002
10.3,0.858,10998.89,0.00095,0.0002
10.4,0.867,11184.06,0.00096,0.0002
10.5,0.875,11264.3,0.00096,0.00021
10.6,0.884,11338.95,0.00097,0.00021
10.7,0.892,11481.31,0.00098,0.00021
10.8,0.9,11655.63,0.00099,0.00021
10.9,0.909,11863.42,0.00099,0.00022
11,0.917,11927.38,0.001,0.00022
11.1,0.925,12018.4,0.00101,0.00022
11.2,0.933,12134.78,0.00102,0.00022
