Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-0.6,0,0
0.1,0.003,-0.27,0,0
0.2,0.013,11.89,0.00004,0
0.3,0.024,24.29,0.00009,0.00001
0.4,0.034,36.51,0.00013,0.00001
0.5,0.042,44.89,0.00017,0.00001
0.6,0.05,52.55,0.00021,0.00001
0.7,0.059,61.57,0.00024,0.00001
0.8,0.067,73.02,0.00028,0.00002
0.9,0.075,85.43,0.00032,0.00002
1,0.084,100.71,0.00035,0.00002
1.1,0.092,120.42,0.00038,0.00002
1.2,0.1,145.79,0.00042,0.00002
1.3,0.109,167.69,0.00045,0.00002
1.4,0.117,191.1,0.00049,0.00002
1.5,0.125,204.48,0.00052,0.00003
1.6,0.134,215.26,0.00056,0.00003
1.7,0.142,223.69,0.00059,0.00003
1.8,0.15,233.6,0.00062,0.00003
1.9,0.159,242.1,0.00066,0.00003
2,0.167,259.98,0.00069,0.00003
2.1,0.175,276.95,0.00072,0.00003
2.2,0.183,301.77,0.00075,0.00004
2.3,0.192,322.54,0.00079,0.00004
2.4,0.2,336.89,0.00082,0.00004
2.5,0.208,355.07,0.00084,0.00004
2.6,0.217,368.41,0.00088,0.00004
2.7,0.225,380.23,0.0009,0.00004
2.8,0.234,398.54,0.00093,0.00004
2.9,0.242,408.16,0.00096,0.00004
3,0.25,422.27,0.00099,0.00005
3.1,0.259,430.27,0.00102,0.00005
3.2,0.267,434.58,0.00104,0.00005
3.3,0.275,445.22,0.00106,0.00005
3.4,0.284,450.36,0.00109,0.00005
3.5,0.292,456.8,0.00111,0.00005
3.6,0.3,460.89,0.00113,0.00005
3.7,0.309,466.99,0.00114,0.00005
3.8,0.317,476.23,0.00117,0.00005
3.9,0.325,483.65,0.00118,0.00005
4,0.334,492.53,0.0012,0.00006
4.1,0.342,501.04,0.00121,0.00006
4.2,0.35,502.49,0.00123,0.00006
4.3,0.358,503.25,0.00123,0.00006
4.4,0.367,511.06,0.00124,0.00006
4.5,0.375,516.56,0.00125,0.00006
4.6,0.384,518.88,0.00125,0.00006
4.7,0.392,519.68,0.00126,0.00006
4.8,0.4,518.44,0.00126,0.00006
4.9,0.409,518.24,0.00126,0.00006
5,0.417,520.99,0.00126,0.00006
5.1,0.425,521.95,0.00126,0.00006
5.2,0.433,516.82,0.00125,0.00006
5.3,0.442,518.76,0.00125,0.00006
5.4,0.45,519.92,0.00125,0.00006
5.5,0.459,522.44,0.00126,0.00006
5.6,0.467,524.4,0.00127,0.00006
5.7,0.475,524.48,0.00127,0.00006
5.8,0.483,526.02,0.00129,0.00006
5.9,0.492,528.7,0.00129,0.00006
6,0.5,528.02,0.0013,0.00006
6.1,0.509,528.24,0.00129,0.00006
6.2,0.517,530.58,0.0013,0.00006
6.3,0.525,530.3,0.0013,0.00006
6.4,0.533,531.5,0.00131,0.00006
6.5,0.542,531.81,0.00131,0.00006
6.6,0.55,531.77,0.00132,0.00006
6.7,0.558,532.19,0.00132,0.00006
6.8,0.567,532.96,0.00133,0.00007
6.9,0.575,533.4,0.00133,0.00007
7,0.583,536.24,0.00135,0.00007
7.1,0.592,535.16,0.00136,0.00007
7.2,0.6,536.33,0.00137,0.00007
7.3,0.609,537.83,0.00138,0.00007
7.4,0.617,540.12,0.0014,0.00007
7.5,0.625,542.51,0.00141,0.00007
7.6,0.633,544.19,0.00143,0.00007
7.7,0.642,546.92,0.00145,0.00007
7.8,0.65,548.7,0.00147,0.00007
7.9,0.659,554.13,0.00149,0.00007
8,0.667,558.47,0.00151,0.00007
8.1,0.675,566.22,0.00153,0.00007
8.2,0.684,569.79,0.00155,0.00007
8.3,0.692,579.31,0.00157,0.00007
8.4,0.7,588.93,0.00159,0.00008
8.5,0.708,592.96,0.00161,0.00008
8.6,0.717,606.62,0.00162,0.00008
8.7,0.725,612.77,0.00165,0.00008
8.8,0.733,622.37,0.00166,0.00008
8.9,0.742,630.28,0.00169,0.00008
9,0.75,637.45,0.0017,0.00008
9.1,0.758,650.85,0.00172,0.00008
9.2,0.767,660.44,0.00174,0.00008
9.3,0.775,667.32,0.00176,0.00008
9.4,0.783,683.5,0.00178,0.00008
9.5,0.792,693.85,0.00179,0.00008
9.6,0.8,712.58,0.00181,0.00008
9.7,0.808,724.13,0.00183,0.00008
9.8,0.817,740.98,0.00185,0.00009
9.9,0.825,745.96,0.00186,0.00009
10,0.834,755.35,0.00188,0.00009
10.1,0.842,773.55,0.00189,0.00009
10.2,0.85,784.45,0.00191,0.00009
10.3,0.859,796.01,0.00193,0.00009
10.4,0.867,803.91,0.00194,0.00009
10.5,0.875,815.45,0.00196,0.00009
10.6,0.884,823.65,0.00198,0.00009
10.7,0.892,837.22,0.002,0.00009
10.8,0.9,844.72,0.00201,0.00009
10.9,0.909,854.73,0.00203,0.00009
11,0.917,866.44,0.00205,0.00009
11.1,0.925,879.4,0.00207,0.00009
11.2,0.933,887.74,0.00208,0.00009
11.3,0.942,899.61,0.0021,0.0001
11.4,0.95,908.37,0.00211,0.0001
11.5,0.959,923.27,0.00213,0.0001
11.6,0.967,931.56,0.00214,0.0001
11.7,0.975,943.6,0.00216,0.0001
11.8,0.983,957.71,0.00217,0.0001
11.9,0.992,973.12,0.00219,0.0001
12,1,984.81,0.00221,0.0001
12.1,1.009,1002.08,0.00222,0.0001
