Time (s),Extension (mm),Load (N),Axial Strain (mm/mm),Transverse Strain (mm/mm)
0,0,-0.11,0,0
0.1,0.004,4.25,0,0
0.2,0.014,309.46,0.00004,0.00001
0.3,0.024,527.72,0.0001,0.00004
0.4,0.033,877.78,0.00015,0.00006
0.5,0.042,1043.99,0.00019,0.00007
0.6,0.05,1256.65,0.00023,0.00009
0.7,0.059,1501.57,0.00026,0.0001
0.8,0.067,1708.58,0.0003,0.00012
0.9,0.075,1891.44,0.00034,0.00013
1,0.084,2012.71,0.00036,0.00015
1.1,0.092,2193.56,0.00039,0.00016
1.2,0.1,2273.61,0.0004,0.00017
1.3,0.109,2351.82,0.00041,0.00018
1.4,0.117,2398.72,0.00041,0.00018
1.5,0.125,2458.76,0.00042,0.00019
1.6,0.134,2497.52,0.00043,0.00019
1.7,0.142,2515.77,0.00043,0.0002
1.8,0.15,2527.62,0.00044,0.0002
1.9,0.159,2539.21,0.00045,0.0002
2,0.167,2592.63,0.00045,0.00021
2.1,0.175,2670.14,0.00046,0.00021
2.2,0.184,2703.52,0.00047,0.00022
2.3,0.192,2766.65,0.00048,0.00022
2.4,0.2,2839.14,0.00049,0.00023
2.5,0.209,2908.05,0.00049,0.00023
2.6,0.217,2992.92,0.0005,0.00024
2.7,0.225,3049.96,0.00051,0.00024
2.8,0.234,3081.8,0.00052,0.00025
2.9,0.242,3096.31,0.00052,0.00025
3,0.25,3116.1,0.00053,0.00025
3.1,0.258,3187.42,0.00054,0.00025
3.2,0.267,3248.47,0.00055,0.00025
3.3,0.275,3311.14,0.00056,0.00025
3.4,0.284,3374.45,0.00056,0.00026
3.5,0.292,3434.54,0.00057,0.00026
3.6,0.3,3494.82,0.00058,0.00026
3.7,0.309,3527.05,0.00059,0.00026
3.8,0.317,3560.63,0.00059,0.00027
3.9,0.325,3606.67,0.00061,0.00027
4,0.334,3707.2,0.00061,0.00027
4.1,0.342,3773.91,0.00062,0.00027
4.2,0.35,3834.46,0.00063,0.00028
4.3,0.359,3895.45,0.00064,0.00028
4.4,0.367,3943.26,0.00065,0.00028
4.5,0.375,4025.78,0.00066,0.00029
4.6,0.384,4069.63,0.00067,0.00029
4.7,0.392,4101.21,0.00068,0.00029
4.8,0.4,4122.29,0.00069,0.00029
4.9,0.409,4211.23,0.0007,0.0003
5,0.417,4269.55,0.00071,0.0003
5.1,0.425,4364.6,0.00072,0.0003
5.2,0.433,4452.88,0.00072,0.00031
5.3,0.442,4539.49,0.00073,0.00031
5.4,0.45,4575.95,0.00074,0.00031
5.5,0.459,4597.78,0.00076,0.00032
5.6,0.467,4617.55,0.00077,0.00032
5.7,0.475,4716.31,0.00077,0.00032
5.8,0.484,4805.27,0.00079,0.00033
5.9,0.492,4871.92,0.00079,0.00033
6,0.5,4933.69,0.00081,0.00033
6.1,0.509,5013.35,0.00082,0.00033
6.2,0.517,5067.03,0.00083,0.00033
6.3,0.525,5127.93,0.00084,0.00034
6.4,0.534,5164.68,0.00085,0.00034
6.5,0.542,5235.62,0.00086,0.00034
6.6,0.55,5306.6,0.00087,0.00035
6.7,0.559,5372.09,0.00089,0.00035
6.8,0.567,5460.96,0.0009,0.00036
6.9,0.575,5587.57,0.0009,0.00036
7,0.584,5617.58,0.00092,0.00037
7.1,0.592,5651.02,0.00093,0.00037
7.2,0.6,5691.26,0.00094,0.00037
7.3,0.609,5794.4,0.00095,0.00038
7.4,0.617,5892.67,0.00096,0.00038
7.5,0.625,5962.92,0.00098,0.00038
7.6,0.634,6042.39,0.00099,0.00038
7.7,0.642,6094.57,0.001,0.00039
7.8,0.65,6137.87,0.00101,0.00039
7.9,0.659,6209.24,0.00103,0.00039
8,0.667,6315.77,0.00104,0.0004
8.1,0.675,6394.07,0.00105,0.0004
