Specimen label,"Steel ME354"
End date,"Monday, October 14, 2019"
Thickness,"6.20000",mm
Width,"12.30000",mm
Final length,"78.43000",mm
Axial gauge length,"25.40000",mm
Transverse gauge length,"12.05000",mm
Crosshead Rate,"5.00",mm/min

Time,Extension,Load,Axial Strain,Transverse Strain
(s),(mm),(N),(mm/mm),(mm/mm)
"0.000","0.000","1.89","0.00000","0.00000"
"0.100","0.004","7.30","0.00000","0.00000"
"0.200","0.013","278.83","0.00002","0.00001"
"0.300","0.024","869.10","0.00005","0.00002"
"0.400","0.033","1430.63","0.00008","0.00004"
"0.500","0.042","1821.77","0.00011","0.00005"
"0.600","0.050","2150.79","0.00013","0.00005"
"0.700","0.059","2232.23","0.00014","0.00006"
"0.800","0.067","2375.29","0.00016","0.00006"
"0.900","0.075","2541.00","0.00017","0.00007"
"1.000","0.084","2711.44","0.00018","0.00008"
"1.100","0.092","2778.21","0.00019","0.00008"
"1.200","0.100","2877.30","0.00020","0.00008"
"1.300","0.109","3005.35","0.00021","0.00009"
"1.400","0.117","3123.96","0.00021","0.00009"
"1.500","0.125","3206.61","0.00022","0.00009"
"1.600","0.134","3280.46","0.00022","0.00008"
"1.700","0.142","3431.29","0.00023","0.00008"
"1.800","0.150","3523.04","0.00024","0.00009"
"1.900","0.159","3621.07","0.00024","0.00009"
"2.000","0.167","3738.07","0.00025","0.00009"
"2.100","0.175","3782.27","0.00025","0.00009"
"2.200","0.184","3884.76","0.00026","0.00009"
"2.300","0.192","3978.24","0.00027","0.00009"
"2.400","0.200","4124.02","0.00028","0.00009"
"2.500","0.208","4244.03","0.00028","0.00010"
"2.600","0.217","4280.60","0.00029","0.00010"
"2.700","0.225","4351.97","0.00029","0.00010"
"2.800","0.234","4514.85","0.00030","0.00010"
"2.900","0.242","4615.48","0.00030","0.00010"
"3.000","0.250","4733.22","0.00031","0.00010"
"3.100","0.259","4814.69","0.00032","0.00011"
"3.200","0.267","4888.66","0.00032","0.00011"
"3.300","0.275","4999.49","0.00033","0.00011"
"3.400","0.284","5125.50","0.00034","0.00011"
"3.500","0.292","5278.81","0.00034","0.00011"
"3.600","0.300","5327.47","0.00035","0.00011"
"3.700","0.309","5390.15","0.00035","0.00012"
"3.800","0.317","5548.73","0.00036","0.00012"
"3.900","0.325","5658.52","0.00037","0.00012"
"4.000","0.334","5764.90","0.00037","0.00012"
"4.100","0.342","5833.13","0.00038","0.00012"
"4.200","0.350","5976.92","0.00039","0.00012"
"4.300","0.359","6089.80","0.00039","0.00012"
"4.400","0.367","6214.87","0.00040","0.00013"
"4.500","0.375","6309.59","0.00041","0.00013"
"4.600","0.383","6350.14","0.00041","0.00013"
"4.700","0.392","6492.81","0.00042","0.00013"
"4.800","0.400","6644.23","0.00042","0.00013"
"4.900","0.409","6809.94","0.00043","0.00013"
"5.000","0.417","6864.65","0.00044","0.00013"
"5.100","0.425","6934.35","0.00044","0.00014"
"5.200","0.433","7050.59","0.00045","0.00014"
"5.300","0.442","7165.76","0.00046","0.00014"
"5.400","0.450","7332.30","0.00046","0.00014"
"5.500","0.459","7403.44","0.00047","0.00014"
"5.600","0.467","7535.86","0.00047","0.00014"
"5.700","0.475","7665.90","0.00048","0.00014"
"5.800","0.484","7764.65","0.00049","0.00015"
"5.900","0.492","7845.54","0.00050","0.00015"
"6.000","0.500","7943.54","0.00050","0.00015"
"6.100","0.509","8095.97","0.00051","0.00015"
"6.200","0.517","8267.09","0.00051","0.00015"
"6.300","0.525","8384.98","0.00052","0.00015"
"6.400","0.534","8405.43","0.00052","0.00015"
"6.500","0.542","8520.89","0.00053","0.00015"
"6.600","0.550","8654.25","0.00053","0.00016"
"6.700","0.558","8835.04","0.00055","0.00016"
"6.800","0.567","8935.71","0.00055","0.00016"
"6.900","0.575","9045.43","0.00056","0.00016"
"7.000","0.584","9149.82","0.00057","0.00016"
"7.100","0.592","9237.02","0.00057","0.00016"
"7.200","0.600","9395.52","0.00057","0.00016"
"7.300","0.608","9473.13","0.00059","0.00017"
"7.400","0.617","9648.76","0.00059","0.00017"
"7.500","0.625","9810.47","0.00060","0.00017"
"7.600","0.633","9910.78","0.00060","0.00017"
"7.700","0.642","9917.70","0.00062","0.00017"
"7.800","0.650","10085.73","0.00062","0.00017"
"7.900","0.658","10246.39","0.00062","0.00018"
"8.000","0.667","10412.09","0.00063","0.00018"
"8.100","0.675","10522.22","0.00064","0.00018"
"8.200","0.684","10593.52","0.00064","0.00018"
"8.300","0.692","10689.31","0.00065","0.00018"
"8.400","0.700","10880.96","0.00066","0.00018"
"8.500","0.709","10991.15","0.00067","0.00018"
"8.600","0.717","11105.11","0.00067","0.00019"
"8.700","0.725","11284.32","0.00068","0.00019"
"8.800","0.733","11380.39","0.00069","0.00019"
"8.900","0.742","11433.49","0.00070","0.00019"
"9.000","0.750","11587.54","0.00070","0.00019"
"9.100","0.759","11768.83","0.00071","0.00019"
"9.200","0.767","11952.35","0.00071","0.00020"
"9.300","0.775","12028.79","0.00072","0.00020"
"9.400","0.784","12094.62","0.00073","0.00020"
"9.500","0.792","12229.26","0.00074","0.00020"
"9.600","0.800","12446.17","0.00075","0.00020"
"9.700","0.809","12540.36","0.00075","0.00020"
"9.800","0.817","12665.16","0.00076","0.00021"
"9.900","0.825","12795.94","0.00077","0.00021"
"10.000","0.834","12925.58","0.00077","0.00021"
"10.100","0.842","13019.03","0.00078","0.00021"
"10.200","0.850","13172.80","0.00079","0.00021"
"10.300","0.859","13362.60","0.00079","0.00021"
"10.400","0.867","13503.71","0.00080","0.00022"
"10.500","0.875","13553.09","0.00081","0.00022"
"10.600","0.883","13667.41","0.00082","0.00022"
"10.700","0.892","13852.98","0.00083","0.00022"
"10.800","0.900","14036.24","0.00083","0.00023"
"10.900","0.909","14095.93","0.00084","0.00023"
"11.000","0.917","14225.51","0.00085","0.00023"
"11.100","0.925","14378.49","0.00085","0.00023"
"11.200","0.934","14518.97","0.00086","0.00023"
"11.300","0.942","14634.40","0.00087","0.00023"
"11.400","0.950","14800.37","0.00088","0.00024"
"11.500","0.959","14930.73","0.00088","0.00024"
"11.600","0.967","15081.37","0.00089","0.00024"
"11.700","0.975","15141.06","0.00090","0.00024"
"11.800","0.984","15308.36","0.00091","0.00025"
"11.900","0.992","15500.96","0.00091","0.00025"
"12.000","1.000","15599.89","0.00092","0.00025"
"12.100","1.008","15702.58","0.00093","0.00025"
"12.200","1.017","15875.71","0.00094","0.00025"
"12.300","1.025","16038.20","0.00095","0.00026"
"12.400","1.034","16159.71","0.00096","0.00026"
"12.500","1.042","16279.39","0.00096","0.00026"
"12.600","1.050","16435.15","0.00097","0.00026"
"12.700","1.058","16600.69","0.00098","0.00027"
"12.800","1.067","16662.76","0.00098","0.00027"
"12.900","1.075","16850.02","0.00099","0.00027"
"13.000","1.084","16982.26","0.00100","0.00028"
"13.100","1.092","17114.78","0.00101","0.00028"
"13.200","1.100","17250.08","0.00102","0.00028"
"13.300","1.108","17403.00","0.00103","0.00028"
"13.400","1.117","17588.30","0.00104","0.00029"
"13.500","1.125","17671.54","0.00104","0.00029"
"13.600","1.134","17797.46","0.00105","0.00029"
"13.700","1.142","17992.45","0.00106","0.00030"
"13.800","1.150","18150.37","0.00107","0.00030"
"13.900","1.159","18212.86","0.00108","0.00030"
"14.000","1.167","18375.15","0.00109","0.00030"
"14.100","1.175","18516.34","0.00110","0.00030"
"14.200","1.183","18695.90","0.00111","0.00031"
"14.300","1.192","18802.59","0.00112","0.00031"
"14.400","1.200","18978.01","0.00113","0.00031"
"14.500","1.209","19124.09","0.00114","0.00031"
"14.600","1.217","19208.26","0.00114","0.00032"
"14.700","1.225","19379.87","0.00116","0.00032"
"14.800","1.233","19571.87","0.00116","0.00032"
"14.900","1.242","19717.40","0.00117","0.00032"
"15.000","1.250","19750.33","0.00118","0.00033"
"15.100","1.259","19903.26","0.00119","0.00034"
"15.200","1.267","20102.67","0.00120","0.00034"
"15.300","1.275","20263.34","0.00122","0.00034"
"15.400","1.284","20379.17","0.00123","0.00035"
"15.500","1.292","20492.12","0.00124","0.00036"
"15.600","1.300","20674.33","0.00125","0.00036"
"15.700","1.309","20784.95","0.00126","0.00036"
"15.800","1.317","20959.64","0.00128","0.00037"
"15.900","1.325","21127.43","0.00129","0.00037"
"16.000","1.334","21224.73","0.00130","0.00037"
"16.100","1.342","21283.60","0.00131","0.00038"
"16.200","1.350","21486.18","0.00132","0.00038"
"16.300","1.359","21675.39","0.00134","0.00039"
"16.400","1.367","21843.69","0.00135","0.00039"
"16.500","1.375","21884.41","0.00137","0.00040"
"16.600","1.384","22030.88","0.00138","0.00040"
"16.700","1.392","22220.73","0.00140","0.00041"
"16.800","1.400","22335.04","0.00141","0.00042"
"16.900","1.409","22507.07","0.00143","0.00042"
"17.000","1.417","22630.92","0.00145","0.00043"
"17.100","1.425","22720.65","0.00146","0.00044"
"17.200","1.434","22833.43","0.00148","0.00044"
"17.300","1.442","22997.93","0.00150","0.00045"
"17.400","1.450","23182.71","0.00152","0.00046"
"17.500","1.459","23345.60","0.00154","0.00047"
"17.600","1.467","23347.81","0.00156","0.00047"
"17.700","1.475","23478.56","0.00158","0.00048"
"17.800","1.484","23647.61","0.00160","0.00049"
"17.900","1.492","23828.29","0.00163","0.00049"
"18.000","1.500","23903.83","0.00164","0.00050"
"18.100","1.509","24032.28","0.00167","0.00051"
"18.200","1.517","24111.17","0.00170","0.00052"
"18.300","1.525","24242.49","0.00172","0.00053"
"18.400","1.534","24344.63","0.00175","0.00053"
"18.500","1.542","24420.37","0.00178","0.00054"
"18.600","1.550","24599.79","0.00181","0.00055"
"18.700","1.559","24719.45","0.00184","0.00056"
"18.800","1.567","24831.47","0.00187","0.00057"
"18.900","1.575","24855.55","0.00190","0.00058"
"19.000","1.584","24904.00","0.00194","0.00059"
"19.100","1.592","25018.86","0.00197","0.00060"
"19.200","1.600","25145.27","0.00200","0.00061"
"19.300","1.609","25237.58","0.00204","0.00062"
"19.400","1.617","25360.70","0.00208","0.00063"
"19.500","1.625","25401.76","0.00212","0.00064"
"19.600","1.634","25423.35","0.00215","0.00065"
"19.700","1.642","25444.49","0.00219","0.00066"
